codigo;descripcion;Codigo Proved;Medida;Marca;Costo;Ganancia;total;INV INICIAL;pedidos;inv real;PEDIDOS;;;;;;;;;;;;
21010-53Y00-AISIN;BOMBA AGUA GA14D/16D 90-ON;WPN-001;;TOMITA/CHINA    ;B/.14.83;B/.4.45;B/.19.28;12;4;8;;;;;;;;;;;;;
21010-80G85-AISIN;BOMBA AGUA TD27-T 88-94;WPN-054;21010-80G26/29 ;TOMITA/CHINA;B/.53.30;B/.15.99;B/.69.29;2;;2;;;;;;;;;;;;;
21010-4M525-AISIN;BOMBA AGUA QG13/15/18DE/DD 98-;WPN-096V;AISIN/JAPON;AISIN/JAPON;B/.20.60;B/.6.18;B/.26.78;4;2;2;;;;;;;;;;;;;
21010-EE025-AISIN ;BOMBA AGUA TIIDA HR16 ;WPN-099V;;AISIN/TAILANDIA ;B/.20.80;B/.6.24;B/.27.04;5;2;3;;;;;;;;;;;;;
21010-ED025-AISIN;BOMBA AGUA TIIDA HR15 C11/SC11;WPN-100V;;AISIN/JAPON;B/.23.60;B/.7.08;B/.30.68;2;;2;;;;;;;;;;;;;
16100-59155-AISIN;BOMBA AGUA 2L/3L/5L/5LE 90-;WPT-001A;;AISIN/JAPON;B/.18.13;B/.5.44;B/.23.57;15;3;12;;;;;;;;;;;;;
 16100-19235-AISIN ;BOMBA AGUA 1HZ/1;WPT-015VA ;;AISIN/JAPON;B/.34.81;B/.10.44;B/.45.25;;;;1;;;;;;;;;;;;
16110-19135-AISIN;BOMBA AGUA 4AF/5AF 91-;WPT-018;;AISIN/JAPON;B/.16.80;B/.5.04;B/.21.84;2;;2;;;;;;;;;;;;;
16110-19185-AISIN      ;BOMBA AGUA 7AFE 94-;WPT-078;;AISIN/JAPON;B/.17.70;B/.5.31;B/.23.01;2;1;1;;;;;;;;;;;;;
16100-09080-AISIN   ;BOMBA AGUA 1ZZFE ;WPT-106VA ; 16100-29415 ;AISIN/JAPON;B/.21.35;B/.6.41;B/.27.76;;;;1;;;;;;;;;;;;
16100-29415-AISIN;BOMBA AGUA 1/3ZZFE ZZE122/130;WPT-106VA 16100-09080  ;;AISIN/TAILANDIA ;B/.21.35;B/.6.41;B/.27.76;4;;4;;;;;;;;;;;;;
16100-29155-AISIN;BOMBA AGUA 1NZ/2NZ YARIS 99-ON;WPT-111VA ;;AISIN/JAPON;B/.18.75;B/.5.63;B/.24.38;4;4;0;;;;;;;;;;;;;
16100-19325-AISIN      ;BOMBA AGUA 1HZ HZB50 00;WPT-141/015 ;RESINA;TOMITA/JAPON;B/.41.60;B/.12.48;B/.54.08;20;3;17;;;;;;;;;;;;;
15100-11021-YSK ; BOMBA ACEITE 3E ;YSK-TA1075 ;; YSK/TAIWAN;B/.28.14;B/.8.44;B/.36.58;;;;1;;;;;;;;;;;;
15100-11110-YSK ;BOMBA ACEITE 5E ;YSK-TA1108 ;;YSK/TAIWAN;B/.24.70;B/.7.41;B/.32.11;;;;1;;;;;;;;;;;;
 15100-11050-TOMITA;;;;;;B/.0.00;B/.0.00;;;;;;;;;;;;;;;;
11039-63T02-S;CABEZOTE TD42 Y61 PATROL 97-;;;AISIN/JAPON;B/.263.00;B/.78.90;B/.341.90;4;;4;;;;;;;;;;;;;
12361-0L030-NISTO;BASE MOTOR 1/2KDFTV HILUX 05-   ;;;NISTO/TAILANDIA;B/.6.82;B/.2.05;B/.8.87;6;;6;;;;;;;;;;;;;
12371-0L030-NISTO;BASE TRANSM.1/2KDFTY KUN15/26;;;NISTO/TAILANDIA;B/.6.60;B/.1.98;B/.8.58;2;;2;;;;;;;;;;;;;
15100-11021-TOMITA ; BOMBA ACEITE 3E ;;; TOMITA/CHINA;B/.23.97;B/.7.19;B/.31.16;;;;1;;;;;;;;;;;;
15100-11050-TOMITA; BOMBA ACEITE 1E/  ;;;TOMITA/CHINA;B/.18.50;B/.5.55;B/.24.05;;;;1;;;;;;;;;;;;
15100-11110-G    ;BOMBA ACEITE 5E;;; TOYOTA/JAPON;B/.48.15;B/.14.45;B/.62.60;;;;1;;;;;;;;;;;;
15100-11110-TOMITA ; BOMBA ACEITE 5E ;;; TOMITA/CHINA;B/.18.50;B/.5.55;B/.24.05;;;;1;;;;;;;;;;;;
31400-59015-S;BALINERA EMBRAGUE HIDRA.ZRE142;;;AISIN/JAPON     ;B/.16.60;B/.4.98;B/.21.58;6;;6;;;;;;;;;;;;;
43430-0K021-FLECHA;EJE DE FLECHA VIGO HILUX;;30X72.5X29;TOMITA/CHINA;B/.51.60;B/.15.48;B/.67.08;20;4;16;;;;;;;;;;;;;
ME-202620-C;CABEZOTE 4M40-T;;;TOMITA/CHINA;B/.192.00;B/.57.60;B/.249.60;4;;4;;;;;;;;;;;;;
ME-202620-S          ;CABEZOTE 4M40T;;;CHINA;;B/.0.00;B/.0.00;4;4;0;;;;;;;;;;;;;
;;;;;;B/.0.00;B/.0.00;;;;;;;;;;;;;;;;
;;;;;;B/.0.00;B/.0.00;;;;;;;;;;;;;;;;
;;;;;;B/.0.00;B/.0.00;;;;;;;;;;;;;;;;
;;;;;;B/.0.00;B/.0.00;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;Total;;;3313.011;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
